customer_id,name,age,city,email,purchase_amount,rating
"C030","Harsh Menon","21","  AHMEDABAD  ","harsh.menon@example.com","964","1.5"
"C069","MEERA PATEL","44","DELHI","meera.patel@example.com","68994","4.6"
"C019","pOoJa kUlKaRnI","NA","  chennai","pooja.kulkarni@example.com","7600","4.9"
"C082","yAsH SiNgH","33","Jaipur","  YASH.SINGH@EXAMPLE.COM  ","Rs. 79,561","4.5"
"C049","   Kavya Rao   ","31","Jaipur","kavya.rao@example.com","91663",""
"C070","   Meera Menon   ","57","kolkata","","13506","1.8"
"C036","Vivek Nair","35","pune  ","vivek.nair@example.com","70782","1.1"
"C100","Nikhil Nair","48","DELHI","","74084","3.4"
"C099","   Shreya Kulkarni   ","NA","HYDERABAD","shreya.kulkarni@example.com","Rs. 49,311","3.7"
"C019","pOoJa kUlKaRnI","NA","  chennai","pooja.kulkarni@example.com","7600","4.9"
"C105","ritika sharma","26","HYDERABAD","ritika.sharma@example.com","73141","1.9"
"C011","   Ritika Desai   ","18","pune  ","  RITIKA.DESAI@EXAMPLE.COM  ","35473","2.4"
"C010","NISHA IYER","21","  AHMEDABAD  ","  NISHA.IYER@EXAMPLE.COM  ","Rs. 56,333","2.5"
"C057","mEeRa jOsHi","30","kolkata","meera.joshi@example.com","13856","2.2"
"C063","iMrAn iYeR","19","Jaipur","imran.iyer@example.com","40635","2.5"
"C089","Rohan Iyer","45","  chennai","rohan.iyer@example.com","13673","3.8"
"C055","harsh sharma","19","  chennai","harsh.sharma@example.com","15493","1.9"
"C052","   Neha Mehta   ","","  AHMEDABAD  ","neha.mehta@example.com","","1.5"
"C062","Arjun Rao","35","surat","arjun.rao@example.com","Rs. 32,635","3.0"
"C008","devendra kulkarni","38","  chennai","  DEVENDRA.KULKARNI@EXAMPLE.COM  ","74841","2.3"
"C036","Vivek Nair","35","pune  ","vivek.nair@example.com","70782","1.1"
"C059","kAvYa mEnOn","41","DELHI","kavya.menon@example.com","57580","3.1"
"C039","SANYA VERMA","60","HYDERABAD","sanya.verma@example.com","16834","2.2"
"C067","MEERA VERMA","NA","Jaipur","","63246","1.7"
"C006","sHrEyA PaTeL","41","pune  ","shreya.patel@example.com","92488","3.6"
"C079","sHrEyA ReDdY","","kolkata","shreya.reddy@example.com","58439","1.8"
"C029","divya singh","24","Bangalore","  DIVYA.SINGH@EXAMPLE.COM  ","28107","1.8"
"C065","   Siddharth Patel   ","48","Bangalore","siddharth.patel@example.com","78722","1.4"
"C093","yAsH SiNgH","42","pune  ","  YASH.SINGH@EXAMPLE.COM  ","47549","5.0"
"C014","pooja sharma","37","HYDERABAD","pooja.sharma@example.com","10822",""
"C030","Harsh Menon","21","  AHMEDABAD  ","harsh.menon@example.com","964","1.5"
"C066","VIVEK SINGH","18.0","HYDERABAD","  VIVEK.SINGH@EXAMPLE.COM  ","",""
"C047","sHrEyA DeSaI","58","pune  ","shreya.desai@example.com","31858","1.3"
"C058","tanvi joshi","40","surat","tanvi.joshi@example.com","","1.1"
"C061","AMIT DESAI","60","Jaipur","  AMIT.DESAI@EXAMPLE.COM  ","24334","2.4"
"C009","hArSh dEsAi","26.0","Jaipur","harsh.desai@example.com","77122","3.3"
"C033","priya bose","44","HYDERABAD","priya.bose@example.com","31529","4.9"
"C068","iShA SiNgH","43","DELHI","isha.singh@example.com","20387","3.3"
"C054","arjun menon","","Jaipur","arjun.menon@example.com","85715",""
"C095","AMIT SINGH","32","surat","amit.singh@example.com","94993","3.7"
"C001","harsh patel","26","pune  ","harsh.patel@example.com","11895","1.1"
"C007","RITIKA BOSE","28","  AHMEDABAD  ","ritika.bose@example.com","90698","3.7"
"C034","lAkShMi mEhTa","39.0","mumbai","lakshmi.mehta@example.com","33027","4.1"
"C103","Ritika Nair","31","mumbai","ritika.nair@example.com","13522","2.5"
"C003","SHREYA SHARMA","27","kolkata","shreya.sharma@example.com","Rs. 50,797",""
"C042","RAHUL BOSE","28","  AHMEDABAD  ","rahul.bose@example.com","81667","4.3"
"C076","Tanvi Menon","","surat","tanvi.menon@example.com","36958","3.3"
"C031","aRjUn mEhTa","53","  AHMEDABAD  ","","","4.6"
"C101","hArSh pAtEl","25","pune  ","harsh.patel@example.com","65069","1.9"
"C102","dIvYa mEhTa","52","Jaipur","divya.mehta@example.com","Rs. 55,379","4.3"
"C046","   Tanvi Reddy   ","46","surat","tanvi.reddy@example.com","72310","1.6"
"C002","ROHAN IYER","53","  AHMEDABAD  ","rohan.iyer@example.com","29393","2.1"
"C017","rohan rao","55","surat","  ROHAN.RAO@EXAMPLE.COM  ","30507",""
"C004","   Shreya Rao   ","47","pune  ","shreya.rao@example.com","72857","3.5"
"C077","hArSh mEnOn","44","DELHI","harsh.menon@example.com","43728","3.0"
"C085","pRiYa jOsHi","44","  chennai","","92935","2.5"
"C015","pooja menon","26","  AHMEDABAD  ","pooja.menon@example.com","Rs. 70,163","2.7"
"C023","lAkShMi kUlKaRnI","53","pune  ","lakshmi.kulkarni@example.com","Rs. 29,534","3.3"
